,iata,name,city,state,country,latitude,longitude
1870,IN03,Indianapolis Downtown,Indianapolis,IN,USA,39.76587639,-86.148875
1871,IND,Indianapolis International,Indianapolis,IN,USA,39.71732917,-86.29438417
1872,INK,Winkler County,Wink,TX,USA,31.77962833,-103.20136190000001
1873,INL,Falls International,International Falls,MN,USA,48.56618722,-93.40306667
1874,INT,Smith Reynolds,Winston-Salem,NC,USA,36.13372222,-80.222
1875,INW,Winslow-Lindbergh Regional,Winslow,AZ,USA,35.02191667,-110.7225278
1876,IOB,Mt Sterling-Montgomery County,Mount Sterling,KY,USA,38.05813889,-83.97958333
1877,IOW,Iowa City Municipal,Iowa City,IA,USA,41.63924389,-91.54650333
1878,IPJ,Lincoln County,Lincolnton,NC,USA,35.48332889,-81.16125833
1879,IPL,Imperial County,Imperial,CA,USA,32.83422028,-115.5787456
1880,IPT,Williamsport-Lycoming Cty,Williamsport,PA,USA,41.24183583,-76.92109556
1881,IRK,Kirksville Regional,Kirksville,MO,USA,40.09364444,-92.54496917
1882,IRS,Kirsch Municipal,Sturgis,MI,USA,41.8128725,-85.43906111
1883,ISM,Kissimmee Municipal,Orlando,FL,USA,28.28980556,-81.43708333
1884,ISN,Sloulin Field International,Williston,ND,USA,48.17793861,-103.6423467
1885,ISO,Kinston Regional Jetport At Stallin,Kinston,NC,USA,35.32807944,-77.61552611
1886,ISP,Long Island - MacArthur,Islip,NY,USA,40.7952425,-73.10021194
1887,ISQ,Schoolcraft County,Manistique,MI,USA,45.97464056,-86.17183056
1888,ISW,Alexander,Wisconsin Rapids,WI,USA,44.36033833,-89.83897056
1889,ISZ,Cincinnati-Blue Ash,Cincinnati,OH,USA,39.24669444,-84.38897222
1890,ITH,Tompkins Cty,Ithaca,NY,USA,42.49102778,-76.45844444
1891,ITO,Hilo International,Hilo,HI,USA,19.72026306,-155.04847030000002
1892,ITR,Kit Carson County,Burlington,CO,USA,39.2425,-102.28538890000002
1893,IWA,Williams Gateway,Phoenix,AZ,USA,33.30783333,-111.6554722
1894,IWD,Gogebic County,Ironwood,MI,USA,46.52747472,-90.13139667
1895,IWH,Wabash Municipal,Wabash,IN,USA,40.76195972,-85.79873417
1896,IWI,Wiscasset,Wiscasset,ME,USA,43.96141667,-69.71255556
1897,IWK,Wales,Wales,AK,USA,65.62394028,-168.09917190000002
1898,IWS,West Houston,Houston,TX,USA,29.81819444,-95.67261111
1899,IXD,New Century Aircenter,Olathe,KS,USA,38.83090472,-94.89030333
1900,IYK,Inyokern,Inyokern,CA,USA,35.65884306,-117.8295122
1901,IYS,Wasilla,Wasilla,AK,USA,61.57196083,-149.54055559999998
1902,IZA,Santa Ynez,Santa Ynez,CA,USA,34.60682028,-120.07556170000001
1903,IZG,Eastern Slopes Regional,Fryeburg,ME,USA,43.99114472,-70.94787444
1904,JAC,Jackson Hole,Jackson,WY,USA,43.60732417,-110.7377389
1905,JAN,Jackson International,Jackson,MS,USA,32.31116667,-90.07588889
1906,JAS,Jasper County -Bell,Jasper,TX,USA,30.89058333,-94.03483333
1907,JAU,Campbell County,Jacksboro,TN,USA,36.33457556,-84.16234472
1908,JAX,Jacksonville International,Jacksonville,FL,USA,30.49405556,-81.68786111
1909,JBR,Jonesboro Municipal,Jonesboro,AR,USA,35.83186111,-90.64616667
1910,JCT,Kimble County,Junction,TX,USA,30.511259999999996,-99.76345528
1911,JDN,Jordan,Jordan,MT,USA,47.33333417,-106.9339564
1912,JEF,Jefferson City Memorial,Jefferson City,MO,USA,38.59117917,-92.15614389
1913,JER,Jerome County,Jerome,ID,USA,42.72663639,-114.4571506
1914,JES,Jesup-Wayne County,Jesup,GA,USA,31.55408333,-81.88344444
1915,JFK,John F Kennedy Intl,New York,NY,USA,40.63975111,-73.77892556
1916,JFX,Walker County,Jasper,AL,USA,33.90199528,-87.31416639
1917,JHM,Kapalua,Lahaina,HI,USA,20.96293639,-156.67303169999997
1918,JHW,Chautauqua Cty,Jamestown,NY,USA,42.15336861,-79.25803499999999
1919,JKA,Jack Edwards,Gulf Shores,AL,USA,30.28951667,-87.67371472
1920,JKJ,Moorhead Municipal,Moorhead,MN,USA,46.83919194,-96.66313028
1921,JKL,Julian Carroll,Jackson,KY,USA,37.59386111,-83.31725
1922,JLN,Joplin Regional,Joplin,MO,USA,37.15181361,-94.49826833
1923,JMR,Mora Municipal,Mora,MN,USA,45.88609722,-93.27177833
1924,JMS,Jamestown Municipal,Jamestown,ND,USA,46.92971944,-98.67819528
1925,JNU,Juneau International,Juneau,AK,USA,58.35496194,-134.57627639999998
1926,JNX,Johnston County,Smithfield,NC,USA,35.54094139,-78.39032944
1927,JOT,Joliet Park District,Chicago/Joliet,IL,USA,41.51805833,-88.17525583
1928,JQF,Concord Regional,Concord,NC,USA,35.38520694,-80.70971389
1929,JRA,Port Authority-W 30th St Midtown Heliport,New York,NY,USA,40.75454583,-74.00708389
1930,JRB,Downtown Manhattan/Wall St. Heliport,New York,NY,USA,40.70121361,-74.00902833
1931,JRF,Kalaeloa (John Rodgers),Kapolei,HI,USA,21.30735389,-158.0703017
1932,JSO,Jacksonville-Cherokee County,Jacksonville,TX,USA,31.86933667,-95.21739028
1933,JST,Johnstown-Cambria Cty,Johnstown,PA,USA,40.31611111,-78.83394444
1934,JVL,Rock County,Janesville,WI,USA,42.61958222,-89.04034028
1935,JVY,Clark County,Jeffersonville,IN,USA,38.36562278,-85.73829639
1936,JWG,Watonga,Watonga,OK,USA,35.86469444,-98.42075
1937,JWN,John C. Tune,Nashville,TN,USA,36.18236194,-86.88672278
1938,JXN,Jackson County Reynolds,Jackson,MI,USA,42.25978556,-84.45940361
1939,JYG,St James Municipal,St James,MN,USA,43.98631833,-94.55793722
1940,JYL,Plantation Airpark,Sylvania,GA,USA,32.64544861,-81.59649722
1941,JYM,Hillsdale Municipal,Hillsdale,MI,USA,41.92126083,-84.5857625
1942,JYO,Leesburg Executive,Leesburg,VA,USA,39.07797222,-77.5575
1943,JYR,Municipal,York,NE,USA,40.89675,-97.62277778
1944,JZI,Charleston Executive,Charleston,SC,USA,32.70086111,-80.00291667
1945,JZP,Pickens County,Jasper,GA,USA,34.45147972,-84.45659278
1946,JZZ,Koliganek,Koliganek,AK,USA,59.72664194,-157.25947219999998
1947,K01,Farington,Auburn,NE,USA,40.38750167,-95.78916167
1948,K02,Perryville Municipal,Perryville,MO,USA,37.86866667,-89.86213889
1949,K06,Greater Beardstown,Beardstown,IL,USA,39.97338139,-90.40373556
1950,K09,Piseco Muni,Piseco,NY,USA,43.45340222,-74.51765083
